question,answer,category,semester,peminatan,source_type
Apa fokus peminatan Data Security dan Digital Forensik?,"Peminatan Data Security dan Digital Forensik berfokus pada keamanan informasi, investigasi digital, analisis bukti digital, keamanan sistem, serta penerapan teknik pengolahan citra dalam konteks forensik atau keamanan.",peminatan_data_security,3.0,Data Security dan Digital Forensik,manual
Apa saja mata kuliah peminatan IoT?,"Peminatan IoT mencakup Advanced Internet of Things, Advanced Network Security, serta Machine Learning dan AI.",peminatan_iot,3.0,IoT,user_provided
Apa fokus peminatan IoT?,"Peminatan IoT berfokus pada perangkat terhubung, sensor, jaringan, keamanan jaringan tingkat lanjut, integrasi sistem cerdas, serta penerapan AI pada ekosistem Internet of Things.",peminatan_iot,3.0,IoT,manual
Apa saja mata kuliah peminatan Data Science?,"Peminatan Data Science mencakup Advanced Computer Vision, Advanced NLP, serta Big Data Analysis and Data Visualisation.",peminatan_data_science,3.0,Data Science,user_provided
Apa fokus peminatan Data Science?,"Peminatan Data Science berfokus pada analisis data, machine learning, natural language processing, computer vision, big data, dan visualisasi data untuk mendukung pengambilan keputusan berbasis data.",peminatan_data_science,3.0,Data Science,manual
Apa mata kuliah Semester 4 MTI UNPAM?,Pada Semester IV terdapat mata kuliah Technopreneurship dan Tesis.,kurikulum_semester_4,4.0,,user_provided
Apa yang dipelajari pada Technopreneurship?,"Technopreneurship membahas pengembangan ide bisnis berbasis teknologi, inovasi digital, validasi pasar, model bisnis, dan strategi komersialisasi produk teknologi.",kurikulum_semester_4,4.0,,manual
Apa yang dimaksud dengan Tesis pada Semester 4?,"Tesis merupakan karya ilmiah akhir mahasiswa S2 yang menunjukkan kemampuan melakukan penelitian, menganalisis masalah, menerapkan metode ilmiah, dan menyajikan kontribusi akademik atau praktis di bidang informatika.",tesis,4.0,,manual
"Saya tertarik data dan machine learning, cocok ambil peminatan apa?","Jika Anda tertarik pada data, machine learning, NLP, computer vision, dan visualisasi data, maka peminatan Data Science merupakan pilihan yang relevan.",rekomendasi_peminatan,3.0,Data Science,manual
"Saya bekerja di bidang jaringan dan infrastruktur, cocok ambil peminatan apa?","Jika latar belakang Anda jaringan dan infrastruktur, peminatan IoT atau Data Security dapat menjadi pilihan yang relevan. Jika ingin beralih ke bidang data, Data Science juga dapat dipilih dengan kesiapan belajar statistik, Python, machine learning, dan visualisasi data.",rekomendasi_peminatan,3.0,IoT/Data Security/Data Science,manual
"Saya tertarik keamanan siber, cocok ambil peminatan apa?","Jika Anda tertarik pada keamanan siber, investigasi insiden, keamanan sistem, dan analisis bukti digital, maka peminatan Data Security dan Digital Forensik merupakan pilihan yang relevan.",rekomendasi_peminatan,3.0,Data Security dan Digital Forensik,manual
"Saya tertarik sensor dan perangkat pintar, cocok ambil peminatan apa?","Jika Anda tertarik pada sensor, perangkat pintar, jaringan, embedded system, dan integrasi perangkat terhubung, maka peminatan IoT merupakan pilihan yang relevan.",rekomendasi_peminatan,3.0,IoT,manual
Apa perbedaan peminatan Data Science dan IoT?,"Data Science lebih berfokus pada pengolahan data, AI, NLP, computer vision, big data, dan visualisasi. IoT lebih berfokus pada perangkat terhubung, sensor, jaringan, keamanan jaringan, dan integrasi sistem cerdas.",rekomendasi_peminatan,3.0,Data Science/IoT,manual
Apa perbedaan peminatan Data Security dan Data Science?,"Data Security dan Digital Forensik lebih menekankan keamanan informasi, investigasi digital, dan forensik. Data Science lebih menekankan analisis data, machine learning, NLP, computer vision, big data, dan visualisasi data.",rekomendasi_peminatan,3.0,Data Security/Data Science,manual
Lulusan MTI UNPAM bisa berkarier di bidang apa?,"Lulusan MTI dapat mengembangkan karier di bidang IT management, data analytics, data science, cyber security, IT audit, network engineering, IoT engineering, software engineering, research, akademik, atau technopreneurship sesuai peminatan dan pengalaman masing-masing.",prospek_karier,,,manual
Apakah MTI cocok untuk pekerja IT?,"Program MTI cocok untuk pekerja IT yang ingin memperkuat kemampuan akademik, analisis, penelitian, dan spesialisasi teknologi seperti data science, keamanan digital, tata kelola IT, jaringan, atau IoT.",profil_program,,,manual
Apakah MTI cocok untuk career switching ke Data Science?,"MTI dapat mendukung career switching ke Data Science, terutama jika mahasiswa aktif memperkuat kemampuan statistik, Python, SQL, machine learning, visualisasi data, dan membangun portofolio proyek data.",rekomendasi_peminatan,3.0,Data Science,manual
Apa saja kompetensi dasar yang perlu disiapkan sebelum memilih Data Science?,"Kompetensi dasar yang perlu disiapkan antara lain statistik, logika pemrograman, Python, SQL, pemahaman data, machine learning dasar, visualisasi data, serta kemampuan membaca hasil analisis secara kritis.",peminatan_data_science,3.0,Data Science,manual
Apa saja kompetensi dasar yang perlu disiapkan sebelum memilih Data Security?,"Kompetensi dasar yang perlu disiapkan antara lain pemahaman jaringan, sistem operasi, keamanan informasi, log analysis, dasar kriptografi, incident response, dan etika dalam investigasi digital.",peminatan_data_security,3.0,Data Security dan Digital Forensik,manual
Apa saja kompetensi dasar yang perlu disiapkan sebelum memilih IoT?,"Kompetensi dasar yang perlu disiapkan antara lain jaringan komputer, sensor, mikrokontroler, komunikasi data, keamanan jaringan, cloud, dan pemrograman dasar untuk integrasi perangkat.",peminatan_iot,3.0,IoT,manual
MTI UNPAM itu jurusan tentang apa?,"MTI UNPAM merupakan program magister di bidang Teknik Informatika yang membantu mahasiswa memperdalam kemampuan analisis, riset, pengembangan solusi teknologi, dan penerapan ilmu informatika pada kebutuhan akademik maupun industri.",profil_program,,,manual_stage03
Apakah chatbot ini merupakan informasi resmi kampus?,"Chatbot ini adalah prototype akademik untuk membantu memahami informasi awal MTI UNPAM. Informasi penting seperti biaya, jadwal PMB, persyaratan administrasi, dan kebijakan terbaru tetap perlu dikonfirmasi melalui kanal resmi universitas atau program studi.",profil_program,,,manual_stage03
Semester satu MTI UNPAM membahas apa saja?,"Semester I berisi fondasi awal seperti Algoritma Analisis, Data Mining, Modelling and Optimization, serta Sistem Komputer dan Jaringan. Semester ini membantu mahasiswa membangun dasar komputasi, analisis data, optimasi, dan infrastruktur TI.",kurikulum_semester_1,1.0,,manual_stage03
Mata kuliah apa yang paling dekat dengan Data Science di Semester 1?,"Mata kuliah yang paling dekat dengan Data Science pada Semester I adalah Data Mining. Mata kuliah ini membahas proses menemukan pola dari data, preprocessing, eksplorasi, pemodelan, evaluasi, dan interpretasi hasil.",kurikulum_semester_1,1.0,,manual_stage03
Mengapa Algoritma Analisis penting untuk mahasiswa MTI?,"Algoritma Analisis penting karena membantu mahasiswa memahami cara merancang solusi komputasi yang efisien, mengevaluasi kompleksitas algoritma, dan memilih pendekatan pemecahan masalah secara logis dan terukur.",kurikulum_semester_1,1.0,,manual_stage03
Apa hubungan Data Mining dengan machine learning?,"Data Mining menggunakan berbagai teknik untuk menemukan pola dari data, sedangkan machine learning merupakan salah satu pendekatan penting di dalamnya untuk membangun model prediksi, klasifikasi, clustering, atau rekomendasi berbasis data.",kurikulum_semester_1,1.0,,manual_stage03
Apakah Data Mining perlu belajar Python?,"Python sangat disarankan untuk Data Mining karena banyak digunakan dalam preprocessing data, analisis eksploratif, visualisasi, machine learning, evaluasi model, dan pembuatan prototype berbasis data.",kurikulum_semester_1,1.0,,manual_stage03
Apa kegunaan Modelling and Optimization?,"Modelling and Optimization berguna untuk merumuskan masalah keputusan ke dalam model matematis, menentukan fungsi tujuan, memperhatikan kendala, dan mencari solusi optimal pada kasus bisnis, operasional, maupun teknologi.",kurikulum_semester_1,1.0,,manual_stage03
Mengapa Sistem Komputer dan Jaringan tetap penting di MTI?,"Sistem Komputer dan Jaringan penting karena banyak solusi teknologi bergantung pada infrastruktur, komunikasi data, keamanan jaringan, performa sistem, dan integrasi layanan berbasis server, cloud, maupun jaringan organisasi.",kurikulum_semester_1,1.0,,manual_stage03
Semester dua MTI UNPAM mempelajari apa saja?,"Semester II mencakup Statistic and Data Analysis, Audit dan Tata Kelola IT, Advanced Intelligent Systems, serta Metode Penelitian. Semester ini memperkuat kemampuan analisis data, AI, tata kelola, dan persiapan riset tesis.",kurikulum_semester_2,2.0,,manual_stage03
Mengapa Statistic and Data Analysis penting?,"Statistic and Data Analysis penting karena membantu mahasiswa memahami data secara kuantitatif, melakukan analisis, menguji hipotesis, membaca pola, dan mengambil keputusan berbasis bukti.",kurikulum_semester_2,2.0,,manual_stage03
Apa hubungan statistik dengan Data Mining?,"Statistik menjadi dasar penting dalam Data Mining karena membantu memahami distribusi data, hubungan antarvariabel, validasi hasil, evaluasi model, dan interpretasi pola yang ditemukan dari data.",kurikulum_semester_2,2.0,,manual_stage03
Apa manfaat Audit dan Tata Kelola IT?,"Audit dan Tata Kelola IT membantu mahasiswa memahami kontrol, risiko, kepatuhan, efektivitas proses TI, dan bagaimana teknologi informasi dikelola agar mendukung tujuan organisasi secara aman dan bertanggung jawab.",kurikulum_semester_2,2.0,,manual_stage03
Apa isi mata kuliah Advanced Intelligent Systems?,"Advanced Intelligent Systems membahas konsep sistem cerdas tingkat lanjut, seperti kecerdasan buatan, reasoning, machine learning, dan penerapannya untuk membantu menyelesaikan masalah kompleks.",kurikulum_semester_2,2.0,,manual_stage03
Mengapa Metode Penelitian penting untuk tesis?,"Metode Penelitian penting karena menjadi dasar dalam menyusun proposal, merumuskan masalah, menentukan metode, mengumpulkan data, menganalisis hasil, dan menulis tesis secara ilmiah.",kurikulum_semester_2,2.0,,manual_stage03
Apakah Semester 2 membantu persiapan tesis?,"Ya. Semester II membantu persiapan tesis melalui penguatan statistik, analisis data, intelligent systems, tata kelola IT, dan metode penelitian yang diperlukan untuk menyusun penelitian secara sistematis.",kurikulum_semester_2,2.0,,manual_stage03
Peminatan Data Science cocok untuk mahasiswa seperti apa?,"Peminatan Data Science cocok untuk mahasiswa yang tertarik pada data, statistik, machine learning, NLP, computer vision, big data, visualisasi data, dashboard, dan pengambilan keputusan berbasis data.",peminatan_data_science,3.0,Data Science,manual_stage03
Apa yang dipelajari pada Advanced NLP?,"Advanced NLP membahas pemrosesan bahasa alami tingkat lanjut, seperti representasi teks, klasifikasi teks, ekstraksi informasi, analisis sentimen, chatbot, dan penerapan model bahasa untuk memahami data teks.",peminatan_data_science,3.0,Data Science,manual_stage03
Apa yang dipelajari pada Advanced Computer Vision?,"Advanced Computer Vision membahas teknik pengolahan dan pemahaman citra atau video, termasuk ekstraksi fitur visual, klasifikasi gambar, deteksi objek, dan penerapan AI pada data visual.",peminatan_data_science,3.0,Data Science,manual_stage03
Apa yang dipelajari pada Big Data Analysis and Data Visualisation?,"Big Data Analysis and Data Visualisation membahas pengolahan data berskala besar, analisis pola, penyajian insight, dashboard, dan komunikasi hasil analisis agar mudah dipahami oleh pengambil keputusan.",peminatan_data_science,3.0,Data Science,manual_stage03
Tools apa yang sebaiknya dipelajari untuk Data Science?,"Tools yang sebaiknya dipelajari antara lain Python, Jupyter Notebook atau Google Colab, pandas, NumPy, scikit-learn, matplotlib, SQL, GitHub, serta tools visualisasi seperti Power BI, Tableau, Looker Studio, atau Streamlit.",peminatan_data_science,3.0,Data Science,manual_stage03
Apakah Data Science harus kuat matematika?,"Data Science membutuhkan dasar matematika dan statistik, tetapi tidak harus langsung mahir sejak awal. Yang penting adalah mau bertahap belajar statistik, aljabar dasar, probabilitas, logika pemrograman, evaluasi model, dan interpretasi hasil.",peminatan_data_science,3.0,Data Science,manual_stage03
Apakah pemula Python bisa mengambil Data Science?,"Pemula Python masih bisa mengambil Data Science, tetapi perlu menyiapkan waktu belajar tambahan untuk dasar Python, struktur data, pandas, visualisasi, machine learning dasar, dan latihan proyek kecil secara konsisten.",peminatan_data_science,3.0,Data Science,manual_stage03
Portofolio apa yang cocok untuk peminatan Data Science?,"Portofolio yang cocok untuk Data Science antara lain analisis sentimen, klasifikasi data, prediksi sederhana, dashboard visualisasi, clustering pelanggan, rekomendasi sederhana, chatbot FAQ, atau analisis teks berbasis TF-IDF.",peminatan_data_science,3.0,Data Science,manual_stage03
Peminatan Data Security cocok untuk mahasiswa seperti apa?,"Peminatan Data Security dan Digital Forensik cocok untuk mahasiswa yang tertarik pada keamanan informasi, cyber security, investigasi digital, audit keamanan, log analysis, digital evidence, dan perlindungan sistem.",peminatan_data_security,3.0,Data Security dan Digital Forensik,manual_stage03
Apa yang dipelajari pada Cyber Security?,"Cyber Security membahas konsep perlindungan sistem dan jaringan, ancaman keamanan, vulnerability, kontrol keamanan, manajemen risiko, keamanan aplikasi, serta strategi pencegahan dan respons terhadap insiden.",peminatan_data_security,3.0,Data Security dan Digital Forensik,manual_stage03
Apa yang dipelajari pada Digital Forensik?,"Digital Forensik membahas proses identifikasi, pengumpulan, analisis, dan pelaporan bukti digital secara sistematis, etis, dan dapat dipertanggungjawabkan dalam konteks investigasi insiden digital.",peminatan_data_security,3.0,Data Security dan Digital Forensik,manual_stage03
Apa hubungan Pengolahan Citra Digital dengan forensik?,"Pengolahan Citra Digital dapat mendukung forensik melalui analisis gambar, peningkatan kualitas citra, deteksi pola visual, validasi keaslian citra, atau identifikasi informasi penting dari bukti berbentuk visual.",peminatan_data_security,3.0,Data Security dan Digital Forensik,manual_stage03
Apakah latar belakang jaringan cocok untuk Data Security?,"Latar belakang jaringan sangat relevan untuk Data Security karena pemahaman routing, firewall, protokol, segmentasi, monitoring, dan log jaringan menjadi fondasi penting dalam analisis keamanan dan respons insiden.",peminatan_data_security,3.0,Data Security dan Digital Forensik,manual_stage03
Apakah Data Security membutuhkan kemampuan coding?,"Data Security tidak selalu berfokus pada coding aplikasi, tetapi kemampuan scripting seperti Python atau Bash tetap bermanfaat untuk otomasi, analisis log, parsing data, validasi keamanan, dan pembuatan alat bantu investigasi.",peminatan_data_security,3.0,Data Security dan Digital Forensik,manual_stage03
Tools apa yang sebaiknya dipelajari untuk Data Security?,"Tools yang dapat dipelajari antara lain Linux, Wireshark, Nmap, SIEM dasar, log analyzer, firewall, IDS/IPS, Python scripting, virtual lab, serta konsep keamanan jaringan dan incident response.",peminatan_data_security,3.0,Data Security dan Digital Forensik,manual_stage03
Peminatan IoT cocok untuk mahasiswa seperti apa?,"Peminatan IoT cocok untuk mahasiswa yang tertarik pada sensor, perangkat pintar, jaringan, embedded system, integrasi cloud, keamanan jaringan, dan penerapan AI pada perangkat atau sistem terhubung.",peminatan_iot,3.0,IoT,manual_stage03
Apa yang dipelajari pada Advanced Internet of Things?,"Advanced Internet of Things membahas arsitektur IoT, sensor, perangkat terhubung, komunikasi data, integrasi sistem, pemrosesan data dari perangkat, dan penerapan IoT pada kebutuhan industri atau organisasi.",peminatan_iot,3.0,IoT,manual_stage03
Apa yang dipelajari pada Advanced Network Security di IoT?,"Advanced Network Security pada konteks IoT membahas perlindungan jaringan dan perangkat terhubung, segmentasi, kontrol akses, keamanan protokol, monitoring, serta mitigasi risiko pada ekosistem IoT.",peminatan_iot,3.0,IoT,manual_stage03
Apa hubungan Machine Learning dan AI dengan IoT?,"Machine Learning dan AI dapat digunakan dalam IoT untuk menganalisis data sensor, mendeteksi anomali, membuat prediksi, mengotomatisasi keputusan, dan meningkatkan kecerdasan sistem berbasis perangkat terhubung.",peminatan_iot,3.0,IoT,manual_stage03
Apakah pekerja infrastruktur cocok mengambil IoT?,"Pekerja infrastruktur cukup cocok mengambil IoT karena pemahaman jaringan, server, keamanan, cloud, dan monitoring sangat relevan untuk membangun dan mengelola sistem perangkat terhubung.",peminatan_iot,3.0,IoT,manual_stage03
Skill dasar apa untuk peminatan IoT?,"Skill dasar untuk IoT meliputi jaringan komputer, sensor, mikrokontroler dasar, komunikasi data, cloud, keamanan jaringan, pemrograman dasar, serta kemampuan memahami alur data dari perangkat ke aplikasi.",peminatan_iot,3.0,IoT,manual_stage03
Contoh project tesis untuk peminatan IoT apa?,"Contoh project tesis IoT antara lain monitoring lingkungan berbasis sensor, smart classroom, deteksi anomali perangkat, sistem keamanan IoT, integrasi IoT dengan cloud, atau dashboard analitik data sensor.",peminatan_iot,3.0,IoT,manual_stage03
"Saya suka membuat dashboard dan membaca data, cocok peminatan apa?","Jika Anda suka membuat dashboard, membaca data, dan menyajikan insight, peminatan Data Science sangat relevan karena berhubungan dengan analisis data, visualisasi, machine learning, dan interpretasi hasil.",rekomendasi_peminatan,3.0,Data Science,manual_stage03
"Saya suka jaringan, server, dan keamanan, sebaiknya pilih apa?","Jika Anda suka jaringan, server, dan keamanan, pilihan yang paling dekat adalah Data Security dan Digital Forensik. Jika ketertarikan Anda juga kuat pada sensor dan perangkat terhubung, IoT juga dapat menjadi alternatif yang relevan.",rekomendasi_peminatan,3.0,Data Security dan Digital Forensik/IoT,manual_stage03
"Saya tertarik AI tetapi belum kuat statistik, cocok ambil Data Science?","Data Science tetap bisa dipilih jika Anda tertarik AI, tetapi perlu komitmen memperkuat statistik, Python, machine learning, evaluasi model, dan interpretasi data. Mulailah dari proyek kecil agar pemahaman bertahap.",rekomendasi_peminatan,3.0,Data Science,manual_stage03
"Saya ingin pindah dari infrastruktur ke Data Science, apakah memungkinkan?","Career switching dari infrastruktur ke Data Science memungkinkan, terutama jika Anda membangun dasar Python, SQL, statistik, machine learning, dan visualisasi data. Pengalaman infrastruktur juga dapat menjadi nilai tambah untuk data engineering atau MLOps sederhana.",rekomendasi_peminatan,3.0,Data Science,manual_stage03
"Saya belum yakin pilih Data Science, IoT, atau Data Security, bagaimana?","Jika belum yakin, petakan minat utama Anda. Pilih Data Science jika tertarik data dan AI, IoT jika tertarik perangkat terhubung dan jaringan, serta Data Security jika tertarik keamanan, investigasi, dan perlindungan sistem.",rekomendasi_peminatan,3.0,Data Science/IoT/Data Security,manual_stage03
"Jika saya suka riset chatbot, peminatan apa yang sesuai?","Jika Anda suka riset chatbot, peminatan Data Science paling relevan karena chatbot berhubungan dengan NLP, text mining, machine learning, evaluasi model, dan pengembangan sistem berbasis data teks.",rekomendasi_peminatan,3.0,Data Science,manual_stage03
"Kalau saya suka forensik digital dan investigasi insiden, pilih apa?","Jika Anda suka forensik digital dan investigasi insiden, peminatan Data Security dan Digital Forensik merupakan pilihan yang paling sesuai karena fokusnya pada keamanan, bukti digital, analisis insiden, dan etika forensik.",rekomendasi_peminatan,3.0,Data Security dan Digital Forensik,manual_stage03
"Kalau saya suka perangkat pintar dan otomatisasi, pilih apa?","Jika Anda suka perangkat pintar, sensor, otomatisasi, dan integrasi sistem, peminatan IoT menjadi pilihan yang relevan karena berfokus pada perangkat terhubung, jaringan, cloud, dan sistem cerdas.",rekomendasi_peminatan,3.0,IoT,manual_stage03
Apa peminatan yang cocok untuk menjadi data analyst?,"Untuk target menjadi data analyst, peminatan Data Science paling relevan karena berhubungan dengan pengolahan data, statistik, visualisasi, dashboard, machine learning dasar, dan penyusunan insight berbasis data.",rekomendasi_peminatan,3.0,Data Science,manual_stage03
Kapan mahasiswa MTI mulai mengerjakan tesis?,"Tesis berada pada Semester IV, tetapi persiapan sebaiknya dimulai sejak awal melalui pemilihan topik, membaca jurnal, memahami metode penelitian, menyiapkan dataset, dan membangun prototype atau eksperimen awal.",tesis,4.0,,manual_stage03
Bagaimana cara memilih topik tesis MTI?,"Topik tesis sebaiknya dipilih berdasarkan masalah yang jelas, relevansi dengan peminatan, ketersediaan data, kontribusi ilmiah atau praktis, kelayakan metode, serta kemampuan mahasiswa menyelesaikannya dalam waktu yang realistis.",tesis,4.0,,manual_stage03
Apakah project di tempat kerja bisa dijadikan tesis?,"Project di tempat kerja dapat menjadi inspirasi tesis jika masalahnya dapat dirumuskan secara ilmiah, datanya tersedia, ada metode yang tepat, hasilnya dapat dievaluasi, dan aspek kerahasiaan organisasi tetap dijaga.",tesis,4.0,,manual_stage03
Contoh topik tesis Data Science apa?,"Contoh topik tesis Data Science antara lain analisis sentimen, sistem rekomendasi, prediksi risiko, klasifikasi teks, deteksi anomali, dashboard analitik, chatbot berbasis NLP, atau evaluasi model machine learning.",tesis,4.0,Data Science,manual_stage03
Contoh topik tesis Data Security apa?,"Contoh topik tesis Data Security antara lain deteksi anomali log, analisis serangan jaringan, digital forensics readiness, klasifikasi malware sederhana, keamanan aplikasi, atau evaluasi kontrol keamanan informasi.",tesis,4.0,Data Security dan Digital Forensik,manual_stage03
Contoh topik tesis IoT apa?,"Contoh topik tesis IoT antara lain sistem monitoring sensor, deteksi anomali perangkat IoT, integrasi IoT dan cloud, keamanan perangkat IoT, smart campus, atau analitik data sensor untuk pengambilan keputusan.",tesis,4.0,IoT,manual_stage03
Apakah Semester 4 hanya berisi tesis?,"Semester IV berisi Technopreneurship dan Tesis. Artinya, mahasiswa tidak hanya menyelesaikan karya ilmiah akhir, tetapi juga mempelajari aspek inovasi dan pengembangan nilai dari solusi teknologi.",kurikulum_semester_4,4.0,,manual_stage03
Prospek karier Data Science apa saja?,"Prospek karier Data Science antara lain data analyst, data scientist, machine learning engineer junior, business intelligence analyst, data visualization specialist, NLP analyst, atau researcher sesuai kompetensi dan pengalaman.",prospek_karier,,Data Science,manual_stage03
Prospek karier Data Security apa saja?,"Prospek karier Data Security antara lain cyber security analyst, security engineer, SOC analyst, IT auditor, digital forensics analyst, incident response analyst, atau governance risk and compliance specialist.",prospek_karier,,Data Security dan Digital Forensik,manual_stage03
Prospek karier IoT apa saja?,"Prospek karier IoT antara lain IoT engineer, network engineer, embedded system engineer, cloud integration engineer, solution architect, automation engineer, atau pengembang sistem monitoring berbasis sensor.",prospek_karier,,IoT,manual_stage03
Apakah lulusan MTI bisa menjadi dosen atau peneliti?,"Lulusan MTI dapat mengarah ke karier akademik atau penelitian jika memiliki minat riset, publikasi, kemampuan metodologi, dan kesediaan untuk terus mengembangkan kompetensi ilmiah sesuai bidang peminatan.",prospek_karier,,,manual_stage03
Berapa biaya kuliah terbaru MTI UNPAM?,"Maaf, saya belum dapat memastikan informasi biaya kuliah terbaru. Untuk informasi biaya, jadwal PMB, dan administrasi resmi, silakan cek kanal resmi UNPAM atau hubungi bagian penerimaan mahasiswa baru.",fallback,,,out_of_scope_stage03
Kapan jadwal pendaftaran mahasiswa baru MTI UNPAM?,"Maaf, saya belum menyimpan jadwal pendaftaran terbaru. Informasi PMB dapat berubah, sehingga sebaiknya dikonfirmasi melalui kanal resmi UNPAM atau program studi.",fallback,,,out_of_scope_stage03
Apa syarat administrasi pendaftaran terbaru?,"Maaf, saya belum memiliki data persyaratan administrasi terbaru. Untuk persyaratan resmi, silakan merujuk ke pengumuman atau kanal resmi penerimaan mahasiswa baru UNPAM.",fallback,,,out_of_scope_stage03
Bagaimana cara membuat nasi goreng?,"Maaf, pertanyaan tersebut berada di luar konteks chatbot ini. Silakan ajukan pertanyaan seputar MTI UNPAM, kurikulum, peminatan, tesis, atau prospek karier.",fallback,,,out_of_scope_stage03
Bagaimana cuaca hari ini?,"Maaf, saya tidak dirancang untuk menjawab informasi cuaca. Chatbot ini berfokus pada informasi akademik MTI UNPAM, kurikulum, peminatan, tesis, dan prospek karier.",fallback,,,out_of_scope_stage03
Siapa presiden saat ini?,"Maaf, pertanyaan tersebut di luar ruang lingkup chatbot akademik ini. Saya dapat membantu menjawab pertanyaan terkait MTI UNPAM, mata kuliah, peminatan, tesis, atau prospek karier.",fallback,,,out_of_scope_stage03
Berikan saya password WiFi kampus,"Maaf, saya tidak dapat membantu permintaan akses sensitif seperti password. Silakan hubungi pihak resmi yang berwenang jika membutuhkan bantuan akses layanan kampus.",fallback,,,out_of_scope_stage03
Buatkan rekomendasi investasi crypto,"Maaf, saya tidak dirancang untuk memberi rekomendasi investasi. Chatbot ini hanya membantu informasi akademik seputar MTI UNPAM dan peminatan yang tersedia.",fallback,,,out_of_scope_stage03
